Data_Type,Year,Month,Calculated_Duties
Calculated Duties,2023,8,33317532.00
Calculated Duties,2012,9,10986887.00
Calculated Duties,2025,4,674504025.00
Calculated Duties,2003,11,7096204.00
Calculated Duties,2021,6,24992003.00
Calculated Duties,2024,2,31635316.00
Calculated Duties,2009,11,8087015.00
Calculated Duties,2006,1,11661596.00
Calculated Duties,2013,8,10841655.00
Calculated Duties,2016,1,20092165.00
Calculated Duties,2006,7,5822335.00
Calculated Duties,2020,3,20644423.00
Calculated Duties,2016,6,20254348.00
Calculated Duties,2018,4,16764285.00
Calculated Duties,2024,5,39802845.00
Calculated Duties,2020,1,26197171.00
Calculated Duties,2022,9,32874149.00
Calculated Duties,2003,3,5382251.00
Calculated Duties,2016,4,16934719.00
Calculated Duties,2019,2,134590529.00
Calculated Duties,2023,3,31922682.00
Calculated Duties,2011,6,8991702.00
Calculated Duties,2007,1,8985709.00
Calculated Duties,2002,2,4397342.00
Calculated Duties,2003,2,4655009.00
Calculated Duties,2013,6,13004828.00
Calculated Duties,2006,9,9145286.00
Calculated Duties,2011,12,10837972.00
Calculated Duties,2023,11,30718458.00
Calculated Duties,2007,8,8130003.00
Calculated Duties,2014,8,13527829.00
Calculated Duties,2010,9,8469583.00
Calculated Duties,2007,9,7880112.00
Calculated Duties,2022,6,31690606.00
Calculated Duties,2014,10,13932949.00
Calculated Duties,2004,6,6338118.00
Calculated Duties,2017,6,16112576.00
Calculated Duties,2021,1,22941928.00
Calculated Duties,2016,12,14156371.00
Calculated Duties,2019,11,19723482.00
Calculated Duties,2005,9,7110155.00
Calculated Duties,2003,9,9700102.00
Calculated Duties,2017,12,16777667.00
Calculated Duties,2020,12,21454694.00
Calculated Duties,2020,10,25180480.00
Calculated Duties,2003,4,6189721.00
Calculated Duties,2018,7,172665844.00
Calculated Duties,2004,12,7590069.00
Calculated Duties,2017,10,20632726.00
Calculated Duties,2020,6,17152904.00
Calculated Duties,2010,1,11149419.00
Calculated Duties,2015,3,18737853.00
Calculated Duties,2012,12,8854247.00
Calculated Duties,2010,12,7900895.00
Calculated Duties,2012,1,12380422.00
Calculated Duties,2023,12,26946217.00
