Year,Month,9. Trade policy
2006,3,47.77774877
2006,4,23.07011789
2006,5,41.90670035
2006,6,23.32682124
2006,7,48.56916488
2006,8,35.70789659
2006,9,15.84410037
2006,10,23.57186562
2006,11,41.70326976
2006,12,18.37326043
2007,1,50.2876138
2007,2,20.55866285
2007,3,22.4038903
2007,4,27.83127901
2007,5,14.30858356
2007,6,22.40590885
2007,7,22.25153743
2007,8,49.82382817
2007,9,30.14341604
2007,10,46.92905476
2007,11,31.16851383
2007,12,35.25545736
2008,1,87.34278233
2008,2,81.89583957
2008,3,72.40856166
2008,4,93.69977208
2008,5,41.39135158
2008,6,43.10307346
2008,7,28.95753599
2008,8,40.37064648
2008,9,30.5507595
2008,10,63.26395959
2008,11,86.634818
2008,12,35.95215664
2009,1,45.71382028
2009,2,44.19855724
2009,3,59.43964632
2009,4,14.43913633
2009,5,18.71831263
2009,6,42.78323492
2009,7,19.63977396
2009,8,26.62323301
2009,9,10.56428132
2009,10,13.89402407
2009,11,25.44941317
2009,12,23.41649551
2010,1,88.89479261
2010,2,25.56934443
2010,3,49.98270517
2010,4,17.37558141
2010,5,57.62335267
2010,6,47.27035697
2010,7,53.77631311
2010,8,72.22164056
2010,9,60.64933385
2010,10,119.9032375
2010,11,69.20682254
2010,12,77.95711045
2011,1,86.634818
2011,2,31.93158479
2011,3,64.00142456
2011,4,27.71504977
2011,5,27.71504977
2011,6,118.5493133
2011,7,74.26638734
2011,8,66.37082431
2011,9,178.5875636
2011,10,113.8227949
2011,11,43.317409
2011,12,52.83169316
2012,1,102.9607961
2012,2,25.40326008
2012,3,27.313969
2012,4,46.40848511
2012,5,18.78744767
2012,6,34.21148036
2012,7,50.93926149
2012,8,43.6861102
2012,9,59.66230542
2012,10,82.02174352
2012,11,11.23636284
2012,12,34.21207944
2013,1,20.04611412
2013,2,35.52704185
2013,3,28.56154581
2013,4,32.3107603
2013,5,22.42813693
2013,6,57.17888615
2013,7,52.83233987
2013,8,33.2132364
2013,9,84.69245527
2013,10,15.59142209
2013,11,26.84253284
2013,12,17.87169145
2014,1,42.48241887
2014,2,185.2676634
2014,3,167.8730783
